method,input_dim,scheme,threshold_ratio,ratio_val_acc,adc_bits,weight_bits,timesteps,val_acc,test_acc
avgpool_8x8,64,B,0.3,0.9015,8,3,3,0.8672,0.8734
avgpool_8x8,64,B,0.3,0.9015,8,3,5,0.8672,0.8734
avgpool_8x8,64,B,0.3,0.9015,8,3,10,0.8672,0.8734
avgpool_8x8,64,B,0.3,0.9015,8,3,20,0.8672,0.8734
avgpool_8x8,64,B,0.3,0.9015,8,4,1,0.8692,0.8775
avgpool_8x8,64,B,0.3,0.9015,8,4,3,0.8692,0.8775
avgpool_8x8,64,B,0.3,0.9015,8,4,5,0.8692,0.8775
avgpool_8x8,64,B,0.3,0.9015,8,4,10,0.8692,0.8775
avgpool_8x8,64,B,0.3,0.9015,8,4,20,0.8692,0.8775
avgpool_8x8,64,B,0.3,0.9015,8,6,1,0.8674,0.8803
avgpool_8x8,64,B,0.3,0.9015,8,6,3,0.8674,0.8803
avgpool_8x8,64,B,0.3,0.9015,8,6,5,0.8674,0.8803
avgpool_8x8,64,B,0.3,0.9015,8,6,10,0.8674,0.8803
avgpool_8x8,64,B,0.3,0.9015,8,6,20,0.8674,0.8803
avgpool_8x8,64,B,0.3,0.9015,8,8,1,0.869,0.8811
avgpool_8x8,64,B,0.3,0.9015,8,8,3,0.869,0.8811
avgpool_8x8,64,B,0.3,0.9015,8,8,5,0.869,0.8811
avgpool_8x8,64,B,0.3,0.9015,8,8,10,0.869,0.8811
avgpool_8x8,64,B,0.3,0.9015,8,8,20,0.869,0.8811
avgpool_8x8,64,B,0.3,0.9015,10,2,1,0.8484,0.8566
avgpool_8x8,64,B,0.3,0.9015,10,2,3,0.8484,0.8566
avgpool_8x8,64,B,0.3,0.9015,10,2,5,0.8484,0.8566
avgpool_8x8,64,B,0.3,0.9015,10,2,10,0.8484,0.8566
avgpool_8x8,64,B,0.3,0.9015,10,2,20,0.8484,0.8566
avgpool_8x8,64,B,0.3,0.9015,10,3,1,0.8678,0.8731
avgpool_8x8,64,B,0.3,0.9015,10,3,3,0.8678,0.8731
avgpool_8x8,64,B,0.3,0.9015,10,3,5,0.8678,0.8731
avgpool_8x8,64,B,0.3,0.9015,10,3,10,0.8678,0.8731
avgpool_8x8,64,B,0.3,0.9015,10,3,20,0.8678,0.8731
avgpool_8x8,64,B,0.3,0.9015,10,4,1,0.8688,0.8769
avgpool_8x8,64,B,0.3,0.9015,10,4,3,0.8688,0.8769
avgpool_8x8,64,B,0.3,0.9015,10,4,5,0.8688,0.8769
avgpool_8x8,64,B,0.3,0.9015,10,4,10,0.8688,0.8769
avgpool_8x8,64,B,0.3,0.9015,10,4,20,0.8688,0.8769
avgpool_8x8,64,B,0.3,0.9015,10,6,1,0.8666,0.8805
avgpool_8x8,64,B,0.3,0.9015,10,6,3,0.8666,0.8805
avgpool_8x8,64,B,0.3,0.9015,10,6,5,0.8666,0.8805
avgpool_8x8,64,B,0.3,0.9015,10,6,10,0.8666,0.8805
avgpool_8x8,64,B,0.3,0.9015,10,6,20,0.8666,0.8805
avgpool_8x8,64,B,0.3,0.9015,10,8,1,0.8682,0.8813
avgpool_8x8,64,B,0.3,0.9015,10,8,3,0.8682,0.8813
avgpool_8x8,64,B,0.3,0.9015,10,8,5,0.8682,0.8813
avgpool_8x8,64,B,0.3,0.9015,10,8,10,0.8682,0.8813
avgpool_8x8,64,B,0.3,0.9015,10,8,20,0.8682,0.8813
avgpool_8x8,64,B,0.3,0.9015,12,2,1,0.8484,0.8565
avgpool_8x8,64,B,0.3,0.9015,12,2,3,0.8484,0.8565
avgpool_8x8,64,B,0.3,0.9015,12,2,5,0.8484,0.8565
avgpool_8x8,64,B,0.3,0.9015,12,2,10,0.8484,0.8565
avgpool_8x8,64,B,0.3,0.9015,12,2,20,0.8484,0.8565
avgpool_8x8,64,B,0.3,0.9015,12,3,1,0.8676,0.8732
avgpool_8x8,64,B,0.3,0.9015,12,3,3,0.8676,0.8732
avgpool_8x8,64,B,0.3,0.9015,12,3,5,0.8676,0.8732
avgpool_8x8,64,B,0.3,0.9015,12,3,10,0.8676,0.8732
avgpool_8x8,64,B,0.3,0.9015,12,3,20,0.8676,0.8732
avgpool_8x8,64,B,0.3,0.9015,12,4,1,0.8686,0.8768
avgpool_8x8,64,B,0.3,0.9015,12,4,3,0.8686,0.8768
avgpool_8x8,64,B,0.3,0.9015,12,4,5,0.8686,0.8768
avgpool_8x8,64,B,0.3,0.9015,12,4,10,0.8686,0.8768
avgpool_8x8,64,B,0.3,0.9015,12,4,20,0.8686,0.8768
avgpool_8x8,64,B,0.3,0.9015,12,6,1,0.8664,0.8806
avgpool_8x8,64,B,0.3,0.9015,12,6,3,0.8664,0.8806
avgpool_8x8,64,B,0.3,0.9015,12,6,5,0.8664,0.8806
avgpool_8x8,64,B,0.3,0.9015,12,6,10,0.8664,0.8806
avgpool_8x8,64,B,0.3,0.9015,12,6,20,0.8664,0.8806
avgpool_8x8,64,B,0.3,0.9015,12,8,1,0.8684,0.8815
avgpool_8x8,64,B,0.3,0.9015,12,8,3,0.8684,0.8815
avgpool_8x8,64,B,0.3,0.9015,12,8,5,0.8684,0.8815
avgpool_8x8,64,B,0.3,0.9015,12,8,10,0.8684,0.8815
avgpool_8x8,64,B,0.3,0.9015,12,8,20,0.8684,0.8815
maxpool_8x8,64,B,0.3,0.873,6,2,1,0.6994,0.685
maxpool_8x8,64,B,0.3,0.873,6,2,3,0.6994,0.685
maxpool_8x8,64,B,0.3,0.873,6,2,5,0.6994,0.685
maxpool_8x8,64,B,0.3,0.873,6,2,10,0.6994,0.685
maxpool_8x8,64,B,0.3,0.873,6,2,20,0.6994,0.685
maxpool_8x8,64,B,0.3,0.873,6,3,1,0.8204,0.834
maxpool_8x8,64,B,0.3,0.873,6,3,3,0.8204,0.834
maxpool_8x8,64,B,0.3,0.873,6,3,5,0.8204,0.834
maxpool_8x8,64,B,0.3,0.873,6,3,10,0.8204,0.834
maxpool_8x8,64,B,0.3,0.873,6,3,20,0.8204,0.834
maxpool_8x8,64,B,0.3,0.873,6,4,1,0.8432,0.8493
maxpool_8x8,64,B,0.3,0.873,6,4,3,0.8432,0.8494
maxpool_8x8,64,B,0.3,0.873,6,4,5,0.8432,0.8494
maxpool_8x8,64,B,0.3,0.873,6,4,10,0.8432,0.8494
maxpool_8x8,64,B,0.3,0.873,6,4,20,0.8432,0.8494
maxpool_8x8,64,B,0.3,0.873,6,6,1,0.8226,0.8377
maxpool_8x8,64,B,0.3,0.873,6,6,3,0.8226,0.8377
maxpool_8x8,64,B,0.3,0.873,6,6,5,0.8226,0.8377
maxpool_8x8,64,B,0.3,0.873,6,6,10,0.8226,0.8377
maxpool_8x8,64,B,0.3,0.873,6,6,20,0.8226,0.8377
maxpool_8x8,64,B,0.3,0.873,6,8,1,0.8212,0.837
maxpool_8x8,64,B,0.3,0.873,6,8,3,0.8212,0.837
maxpool_8x8,64,B,0.3,0.873,6,8,5,0.8212,0.837
maxpool_8x8,64,B,0.3,0.873,6,8,10,0.8212,0.837
maxpool_8x8,64,B,0.3,0.873,6,8,20,0.8212,0.837
maxpool_8x8,64,B,0.3,0.873,8,2,1,0.699,0.6826
maxpool_8x8,64,B,0.3,0.873,8,2,3,0.699,0.6826
maxpool_8x8,64,B,0.3,0.873,8,2,5,0.699,0.6826
maxpool_8x8,64,B,0.3,0.873,8,2,10,0.699,0.6826
maxpool_8x8,64,B,0.3,0.873,8,2,20,0.699,0.6826
maxpool_8x8,64,B,0.3,0.873,8,3,1,0.8238,0.8344
maxpool_8x8,64,B,0.3,0.873,8,3,3,0.8238,0.8344
